Year,State,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Family,Acquaintance,Stranger,Unknown,Firearm,Knife,Blunt object,Personal,Other/unknown Weapon,One offender involved,Two or more offenders involved,Unknown number of offenders involved
1980,AL,0,18,13,5,0,7,10,1,0,0,5,9,4,0,15,3,0,0,0,15,3,0
1981,AL,0,21,19,1,0,13,8,0,0,0,8,8,5,0,13,8,0,0,0,11,10,0
1982,AL,1,19,15,4,0,5,14,0,0,0,6,7,6,0,7,5,2,2,3,13,6,0
1983,AL,2,20,21,1,0,7,15,0,0,0,7,11,4,0,13,7,0,1,1,16,6,0
1984,AL,0,21,19,2,0,7,13,0,0,0,4,9,5,2,12,3,0,4,1,10,10,0
1985,AL,0,29,23,5,0,8,20,0,0,0,3,22,3,0,24,4,0,0,0,14,14,0
1986,AL,0,27,23,4,0,9,18,0,0,0,6,14,6,0,15,7,0,2,2,18,9,0
1987,AL,0,14,10,3,0,3,10,0,0,0,3,10,0,0,9,5,0,0,0,10,3,0
1988,AL,0,23,21,2,0,9,15,0,0,0,5,15,3,0,16,6,1,0,0,14,10,0
1989,AL,2,38,38,2,0,6,33,0,0,0,7,21,11,0,35,4,0,0,0,33,6,0
1990,AL,0,34,32,2,0,10,24,0,0,0,5,25,4,0,27,3,2,0,2,22,11,0
1991,AL,0,26,24,1,1,0,24,0,0,2,2,17,5,1,25,0,0,1,0,6,19,0
1992,AL,1,20,16,2,2,2,16,0,0,2,3,8,7,2,19,1,1,0,0,21,0,0
1993,AL,0,26,25,1,0,5,20,0,0,0,4,12,7,2,21,1,0,0,3,26,0,0
1994,AL,0,25,24,1,0,4,21,0,0,0,3,15,4,3,20,2,0,0,3,25,0,0
1995,AL,0,13,13,0,0,1,12,0,0,0,2,4,4,3,11,2,0,0,0,13,0,0
1996,AL,0,21,19,2,0,2,19,0,0,0,1,15,4,1,16,3,0,2,0,20,1,0
1997,AL,0,22,21,1,0,4,18,0,0,0,2,17,0,3,20,2,0,0,0,18,4,0
1998,AL,1,16,15,2,0,4,12,0,0,0,3,4,1,8,12,1,1,0,2,17,0,0
2000,AL,0,6,6,0,0,0,6,0,0,0,1,3,1,0,3,1,0,0,1,6,0,0
2001,AL,0,24,22,2,0,8,16,0,0,0,5,4,3,11,16,3,0,2,2,22,2,0
2002,AL,0,12,11,1,0,4,7,0,0,0,2,3,0,6,6,2,0,1,2,12,0,0
2003,AL,0,11,10,0,1,2,8,0,0,1,2,5,2,2,9,1,0,0,1,11,0,0
2004,AL,0,6,4,1,1,2,3,0,0,1,0,3,0,3,5,1,0,0,0,6,0,0
2005,AL,0,10,10,0,0,2,8,0,0,0,1,6,0,3,7,0,0,1,2,10,0,0
2006,AL,0,15,15,0,0,1,13,0,1,0,2,8,0,5,13,1,0,0,1,12,3,0
2007,AL,0,22,21,1,0,0,22,0,0,0,2,9,7,4,20,1,1,0,0,16,6,0
2008,AL,0,14,14,0,0,3,10,0,0,0,0,5,3,5,11,0,0,2,0,11,2,0
2009,AL,0,14,14,0,0,5,8,0,0,1,4,3,3,4,12,1,0,0,1,14,0,0
2010,AL,0,4,4,0,0,0,3,1,0,0,0,0,0,4,4,0,0,0,0,4,0,0
1980,AK,0,2,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,0,2,0,0
1981,AK,0,3,3,0,0,3,0,0,0,0,2,1,0,0,2,1,0,0,0,3,0,0
1982,AK,0,9,7,2,0,6,0,3,0,0,2,3,3,0,3,2,3,0,0,6,3,0
1983,AK,1,2,3,0,0,1,0,2,0,0,2,1,0,0,3,0,0,0,0,3,0,0
1984,AK,0,6,6,0,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0
1985,AK,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1986,AK,1,2,3,0,0,0,0,3,0,0,1,2,0,0,2,0,1,0,0,2,1,0
1987,AK,0,2,2,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0
1988,AK,0,4,4,0,0,4,0,0,0,0,1,1,2,0,4,0,0,0,0,2,2,0
1989,AK,0,2,2,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0
1990,AK,0,3,3,0,0,3,0,0,0,0,1,2,0,0,3,0,0,0,0,3,0,0
1991,AK,0,3,2,1,0,1,1,1,0,0,2,1,0,0,2,1,0,0,0,2,1,0
1992,AK,0,3,3,0,0,2,1,0,0,0,0,2,1,0,2,1,0,0,0,3,0,0
1993,AK,0,5,5,0,0,4,0,0,1,0,0,1,4,0,4,1,0,0,0,3,2,0
1994,AK,0,9,9,0,0,6,1,1,1,0,1,5,3,0,9,0,0,0,0,4,5,0
1995,AK,0,2,2,0,0,1,0,0,1,0,1,0,1,0,2,0,0,0,0,1,1,0
1996,AK,0,2,2,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0
1997,AK,0,7,7,0,0,2,0,3,1,0,0,7,0,0,6,0,0,1,0,1,6,0
1998,AK,0,7,7,0,0,3,2,1,0,0,1,1,5,0,5,2,0,0,0,5,2,0
1999,AK,1,6,7,0,0,3,0,4,0,0,1,4,1,1,6,1,0,0,0,4,3,0
2000,AK,0,2,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0
2001,AK,0,2,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
2002,AK,0,5,5,0,0,3,1,1,0,0,2,3,0,0,2,1,0,1,1,4,1,0
2003,AK,0,2,2,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,1,1,0
2004,AK,0,3,3,0,0,1,1,1,0,0,1,2,0,0,1,0,1,1,0,3,0,0
2005,AK,0,3,2,1,0,2,0,0,1,0,0,2,1,0,3,0,0,0,0,2,1,0
2006,AK,0,2,2,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0
2007,AK,0,4,4,0,0,0,1,3,0,0,1,2,1,0,3,0,0,1,0,4,0,0
2008,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AK,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2010,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,AK,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2012,AK,1,1,2,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,2,0,0
2013,AK,0,2,2,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,2,0,0
2014,AK,0,5,5,0,0,4,0,1,0,0,0,4,1,0,3,1,0,0,1,3,2,0
2015,AK,0,2,2,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,2,0
2016,AK,0,9,9,0,0,7,1,1,0,0,3,5,1,0,8,0,1,0,0,5,4,0
2017,AK,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2018,AK,0,5,5,0,0,1,2,1,1,0,0,1,4,0,5,0,0,0,0,2,3,0
2019,AK,0,5,4,1,0,2,1,2,0,0,1,3,1,0,5,0,0,0,0,2,3,0
2020,AK,0,3,3,0,0,0,2,1,0,0,0,3,0,0,3,0,0,0,0,1,2,0
1980,AZ,0,21,20,1,0,17,4,0,0,0,1,15,5,0,17,4,0,0,0,12,9,0
1981,AZ,0,10,10,0,0,10,0,0,0,0,2,4,2,2,8,2,0,0,0,9,1,0
1982,AZ,0,14,13,1,0,12,1,1,0,0,1,8,5,0,6,3,3,2,0,8,6,0
1983,AZ,0,10,10,0,0,10,0,0,0,0,1,6,3,0,6,2,0,2,0,7,3,0
1984,AZ,1,15,15,1,0,13,2,1,0,0,2,8,4,2,6,7,0,2,1,12,4,0
1985,AZ,0,10,10,0,0,6,2,2,0,0,0,10,0,0,2,3,3,1,1,6,4,0
1986,AZ,0,24,22,2,0,20,1,3,0,0,0,16,8,0,9,10,5,0,0,12,12,0
1987,AZ,0,8,7,1,0,6,2,0,0,0,3,4,1,0,7,0,0,1,0,7,1,0
1988,AZ,0,18,18,0,0,15,3,0,0,0,3,11,4,0,9,0,4,3,2,8,10,0
1989,AZ,1,11,11,0,0,6,4,2,0,0,2,6,3,1,9,1,1,0,1,8,4,0
1990,AZ,0,18,17,1,0,13,4,1,0,0,1,8,8,1,12,3,1,2,0,14,4,0
1991,AZ,2,16,17,1,0,13,1,4,0,0,3,6,3,5,9,4,2,3,0,7,11,0
1992,AZ,0,28,25,3,0,24,2,2,0,0,2,12,12,1,22,4,1,0,1,18,9,0
1993,AZ,0,36,33,3,0,23,13,0,0,0,0,20,14,2,31,3,2,0,0,13,23,0
1994,AZ,0,57,51,6,0,39,13,3,0,2,1,26,28,1,53,1,2,0,1,19,38,0
1995,AZ,0,32,30,2,0,28,3,0,0,1,3,16,11,1,27,2,1,2,0,23,9,0
1996,AZ,0,34,29,4,0,28,4,1,0,0,2,19,13,0,24,2,3,4,0,23,11,0
1997,AZ,0,21,20,1,0,15,6,0,0,0,1,10,9,0,18,1,1,1,0,15,6,0
1998,AZ,0,20,17,3,0,19,0,1,0,0,3,9,7,0,12,0,2,3,2,8,11,0
1999,AZ,0,18,18,0,0,14,3,0,1,0,3,6,9,0,10,5,3,0,0,12,6,0
2000,AZ,0,12,11,1,0,7,3,2,0,0,3,6,3,0,6,3,1,2,0,10,2,0
2001,AZ,0,14,13,1,0,11,2,1,0,0,3,6,5,0,11,2,1,0,0,11,3,0
2002,AZ,0,8,8,0,0,5,2,1,0,0,1,3,4,0,7,1,0,0,0,7,1,0
2003,AZ,0,17,17,0,0,13,4,0,0,0,1,10,6,0,13,2,0,2,0,10,7,0
2004,AZ,0,19,19,0,0,12,5,1,1,0,1,6,12,0,13,2,2,2,0,9,10,0
2005,AZ,0,17,16,1,0,10,4,3,0,0,1,8,8,0,10,6,1,0,0,9,8,0
2006,AZ,0,18,16,2,0,15,2,0,1,0,3,9,6,0,13,3,1,1,0,11,7,0
2007,AZ,0,18,18,0,0,14,4,0,0,0,0,16,2,0,15,2,0,0,1,10,8,0
2008,AZ,0,24,21,3,0,21,3,0,0,0,4,7,13,0,19,3,2,0,0,10,14,0
2009,AZ,0,8,8,0,0,8,0,0,0,0,0,3,4,0,4,3,0,0,0,3,4,0
2010,AZ,0,13,10,2,0,9,1,0,0,2,2,6,2,2,6,3,2,0,1,6,7,0
2011,AZ,0,14,14,0,0,12,2,0,0,0,1,10,2,1,7,5,1,0,1,10,5,0
2012,AZ,0,7,6,1,0,7,0,0,0,0,0,2,3,1,6,1,0,0,0,3,3,0
2013,AZ,0,15,15,0,0,13,2,0,0,0,1,9,5,0,8,4,4,0,0,4,12,0
2014,AZ,0,11,9,2,0,9,2,0,0,0,4,7,0,0,5,1,1,2,1,9,2,0
2015,AZ,0,6,4,1,0,3,2,0,0,0,0,3,0,2,3,1,1,0,0,3,2,0
2016,AZ,0,11,11,0,0,7,2,2,0,0,1,8,2,0,6,4,1,0,0,8,3,0
2017,AZ,0,17,13,4,0,10,5,2,0,0,0,8,7,2,11,2,0,3,1,8,9,0
2018,AZ,1,19,18,2,0,8,8,3,0,0,1,9,6,3,14,0,1,0,4,5,14,0
2019,AZ,0,11,11,0,0,8,1,0,0,2,1,3,2,4,9,2,0,0,0,5,5,0
2020,AZ,0,24,24,0,0,18,2,4,0,0,1,7,13,2,18,4,1,0,1,11,13,0
1980,AR,0,20,16,4,0,14,6,0,0,0,8,8,3,0,18,1,0,0,1,12,7,0
1981,AR,1,3,4,0,0,2,2,0,0,0,2,2,0,0,3,1,0,0,0,3,1,0
1982,AR,0,3,3,0,0,1,2,0,0,0,0,3,0,0,2,1,0,0,0,1,2,0
1983,AR,0,11,10,1,0,9,2,0,0,0,4,4,3,0,4,4,1,0,2,5,6,0
1984,AR,0,12,7,5,0,6,6,0,0,0,6,2,4,0,7,1,1,0,3,7,5,0
1985,AR,0,14,11,3,0,6,8,0,0,0,4,7,3,0,7,5,1,1,0,7,7,0
1986,AR,0,10,8,2,0,6,4,0,0,0,1,6,3,0,7,2,1,0,0,7,3,0
1987,AR,0,11,11,0,0,7,4,0,0,0,2,7,2,0,8,2,0,1,0,8,3,0
1988,AR,0,12,12,0,0,6,6,0,0,0,3,6,3,0,6,4,2,0,0,4,8,0
1989,AR,0,15,15,0,0,2,13,0,0,0,1,10,4,0,9,1,4,0,1,10,5,0
1990,AR,0,32,31,1,0,11,21,0,0,0,3,13,16,0,25,0,2,0,5,10,22,0
1991,AR,0,34,31,2,0,10,23,0,0,0,7,22,4,0,19,5,1,1,7,16,17,0
1992,AR,0,38,35,3,0,7,31,0,0,0,3,27,8,0,35,2,1,0,0,24,15,0
1993,AR,0,36,34,2,0,5,31,0,0,0,1,17,17,1,25,3,1,6,1,11,25,0
1994,AR,0,50,49,1,0,4,46,0,0,0,2,32,15,1,45,2,1,0,2,14,36,0
1995,AR,0,37,35,2,0,8,29,0,0,0,4,23,6,4,33,1,0,3,0,20,17,0
1996,AR,0,23,22,1,0,8,15,0,0,0,2,15,6,0,19,2,0,1,1,9,14,0
1997,AR,0,13,11,2,0,4,9,0,0,0,2,5,6,0,10,1,0,1,1,7,6,0
1998,AR,1,20,16,5,0,10,11,0,0,0,5,10,6,0,15,2,0,0,4,7,14,0
1999,AR,0,13,13,0,0,4,9,0,0,0,2,4,6,1,9,1,0,2,1,6,7,0
2000,AR,0,16,15,1,0,3,12,0,1,0,2,9,3,2,11,0,3,2,0,6,10,0
2001,AR,0,9,8,1,0,2,5,1,0,1,1,2,6,0,8,1,0,0,0,4,5,0
2002,AR,0,6,5,1,0,2,4,0,0,0,2,2,2,0,6,0,0,0,0,5,1,0
2003,AR,0,14,14,0,0,7,7,0,0,0,0,8,3,2,9,1,0,0,3,7,7,0
2004,AR,0,11,9,2,0,2,7,0,2,0,0,7,0,4,9,2,0,0,0,1,10,0
2005,AR,0,20,20,0,0,3,17,0,0,0,0,7,3,9,19,0,0,1,0,4,16,0
2006,AR,0,6,5,1,0,1,5,0,0,0,0,3,2,1,4,0,0,0,2,3,3,0
2007,AR,0,9,8,1,0,3,6,0,0,0,0,6,1,2,4,2,0,0,3,2,7,0
2008,AR,0,2,2,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0
2009,AR,0,15,15,0,0,4,10,0,0,0,0,6,0,8,12,0,1,1,1,5,9,0
2010,AR,0,14,14,0,0,5,8,0,0,0,1,1,5,6,10,1,2,0,0,2,12,0
2011,AR,1,7,5,2,1,3,4,0,0,1,0,2,2,4,4,4,0,0,0,4,4,0
2012,AR,0,21,17,3,1,4,14,0,0,3,0,5,2,14,18,3,0,0,0,12,9,0
2013,AR,0,7,7,0,0,0,7,0,0,0,0,1,0,6,7,0,0,0,0,0,7,0
2014,AR,0,6,6,0,0,3,3,0,0,0,0,4,0,2,6,0,0,0,0,1,5,0
2015,AR,0,14,13,1,0,4,10,0,0,0,1,6,0,7,13,1,0,0,0,6,8,0
2016,AR,1,19,20,0,0,2,17,0,0,0,0,1,2,16,19,1,0,0,0,4,15,0
2017,AR,0,20,19,1,0,4,16,0,0,0,1,7,0,11,17,1,1,0,1,8,11,0
2018,AR,0,15,15,0,0,3,12,0,0,0,2,6,1,7,15,0,0,0,0,5,10,0
2019,AR,0,15,14,1,0,4,9,1,0,0,3,3,3,5,14,1,0,0,0,9,5,0
2020,AR,0,28,27,0,1,5,23,0,0,0,2,13,0,14,25,1,0,2,0,9,19,0
1980,CA,4,336,322,18,0,181,146,6,3,5,19,66,11,244,226,80,16,12,6,138,203,0
1981,CA,2,347,327,22,0,180,163,0,5,1,24,168,75,83,243,69,18,11,9,149,200,0
1982,CA,1,223,204,20,0,128,87,2,6,0,21,112,64,26,132,58,8,10,15,92,131,0
1983,CA,1,207,182,26,0,125,71,5,7,0,19,118,64,7,108,62,9,15,14,86,122,0
1984,CA,1,163,147,17,0,97,64,0,2,1,16,104,44,0,103,33,19,3,6,64,100,0
1985,CA,0,179,167,12,0,89,79,0,11,0,15,117,48,0,120,42,10,5,3,76,103,0
1986,CA,2,202,192,12,0,101,86,1,16,1,14,148,42,1,132,46,13,9,5,89,116,0
1987,CA,6,238,219,25,0,123,111,1,4,5,24,133,86,1,170,39,10,16,9,111,133,0
1988,CA,2,282,267,17,0,131,136,4,1,12,10,133,116,25,213,33,17,19,2,93,191,0
1989,CA,2,375,363,14,0,234,129,1,6,7,11,142,172,53,301,42,10,7,17,131,246,0
1990,CA,2,428,412,18,0,242,167,1,6,15,20,162,195,54,351,45,22,9,4,136,294,0
1991,CA,0,420,400,19,1,284,110,3,17,7,25,187,173,35,338,52,11,9,11,160,260,0
1992,CA,5,425,401,29,0,308,103,0,12,8,28,287,113,3,336,59,8,14,14,171,259,0
1993,CA,3,493,479,17,0,279,174,1,32,10,30,290,172,4,410,42,21,16,7,187,309,0
1994,CA,2,454,445,11,0,256,155,1,37,7,19,286,147,4,383,42,17,10,4,204,252,0
1995,CA,1,427,410,18,0,273,125,2,23,5,17,231,180,0,342,51,9,17,9,151,277,0
1996,CA,0,296,282,14,0,193,75,0,18,10,15,168,113,0,224,28,12,24,8,110,186,0
1997,CA,0,240,226,14,0,169,50,0,16,5,17,131,92,0,177,27,15,15,6,88,152,0
1998,CA,2,219,211,10,0,147,48,2,20,4,18,131,72,0,167,30,10,10,4,86,135,0
1999,CA,1,136,124,13,0,98,27,0,12,0,13,84,40,0,90,27,5,6,9,62,75,0
2000,CA,0,151,141,10,0,94,45,0,7,5,10,70,71,0,114,23,7,6,1,60,91,0
2001,CA,2,142,133,11,0,88,46,2,7,1,12,64,68,0,97,21,11,10,5,57,87,0
2002,CA,0,169,161,8,0,119,46,0,3,1,8,89,72,0,137,11,7,7,7,64,105,0
2003,CA,0,131,118,13,0,70,46,0,13,2,14,48,67,2,98,11,11,3,8,56,75,0
2004,CA,1,160,156,5,0,98,57,0,6,0,4,76,81,0,123,20,4,12,2,47,114,0
2005,CA,0,174,162,12,0,113,49,0,10,2,8,72,94,0,126,35,4,4,5,69,105,0
2006,CA,1,196,183,14,0,117,62,1,15,2,10,84,103,0,140,29,6,12,10,75,122,0
2007,CA,1,172,165,8,0,120,46,2,5,0,5,76,90,1,140,26,1,5,1,59,114,0
2008,CA,0,130,126,4,0,90,29,2,9,0,9,67,54,0,92,18,6,12,2,56,74,0
2009,CA,0,122,113,9,0,89,31,1,1,0,6,68,48,0,80,24,8,8,2,59,63,0
2010,CA,0,109,95,14,0,62,33,0,10,4,8,53,48,0,67,20,7,12,3,39,70,0
2011,CA,1,99,94,6,0,52,32,0,12,4,7,42,50,1,60,31,2,1,6,31,69,0
2012,CA,2,73,74,1,0,46,28,0,0,1,3,35,37,0,55,7,5,5,3,40,35,0
2013,CA,0,96,90,6,0,73,21,0,1,1,7,41,48,0,68,19,3,3,3,33,63,0
2014,CA,0,70,65,5,0,55,14,0,0,1,8,28,34,0,46,19,2,1,2,29,41,0
2015,CA,0,78,74,4,0,53,20,2,3,0,7,30,41,0,55,11,4,6,2,33,45,0
2016,CA,0,78,69,9,0,48,22,0,7,1,5,46,27,0,56,14,4,3,1,30,48,0
2017,CA,0,59,57,2,0,47,9,1,1,1,9,25,25,0,42,13,2,1,1,32,27,0
2018,CA,0,70,65,5,0,47,21,0,1,1,5,25,40,0,47,13,1,7,2,31,39,0
2019,CA,0,52,44,8,0,43,7,0,1,1,2,28,22,0,36,6,4,2,4,17,35,0
2020,CA,0,78,73,5,0,51,21,1,2,3,2,23,53,0,61,12,1,4,0,31,47,0
1980,CO,0,10,8,2,0,10,0,0,0,0,3,2,4,0,4,3,1,1,0,7,3,0
1981,CO,0,2,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0
1982,CO,0,6,6,0,0,6,0,0,0,0,1,4,1,0,5,1,0,0,0,6,0,0
1983,CO,0,8,8,0,0,7,1,0,0,0,1,2,5,0,2,4,0,2,0,4,4,0
1984,CO,0,11,10,1,0,7,3,0,0,0,0,7,3,0,4,5,0,1,0,8,2,0
1985,CO,0,14,11,3,0,14,0,0,0,0,2,4,6,2,5,7,0,1,1,4,10,0
1986,CO,1,13,12,2,0,14,0,0,0,0,5,6,3,0,7,4,2,0,1,6,8,0
1987,CO,0,9,6,3,0,9,0,0,0,0,1,7,1,0,2,6,0,1,0,1,8,0
1988,CO,0,14,12,2,0,11,3,0,0,0,7,4,3,0,11,1,0,2,0,11,3,0
1989,CO,0,7,7,0,0,4,3,0,0,0,0,6,1,0,3,4,0,0,0,5,2,0
1990,CO,0,19,17,2,0,12,7,0,0,0,2,8,9,0,9,5,1,3,1,11,8,0
1991,CO,0,25,19,6,0,14,11,0,0,0,1,14,10,0,13,1,6,4,1,11,14,0
1992,CO,0,23,22,1,0,18,5,0,0,0,1,13,8,1,18,4,1,0,0,8,15,0
1993,CO,0,21,19,2,0,12,8,0,1,0,1,8,11,1,18,2,0,0,1,13,8,0
1994,CO,0,13,13,0,0,7,6,0,1,0,1,4,7,1,11,1,1,0,0,10,3,0
1995,CO,1,33,33,1,0,24,10,0,0,0,3,11,18,1,23,5,3,2,0,13,21,0
1996,CO,1,40,35,6,0,32,7,0,2,0,4,19,7,11,18,13,2,5,3,14,27,0
1997,CO,0,19,18,1,0,9,10,0,1,0,0,7,6,7,16,3,1,0,0,5,15,0
1998,CO,0,26,22,3,0,22,1,0,2,0,4,10,5,6,17,4,3,0,1,8,17,0
1999,CO,0,25,20,5,0,22,2,0,1,0,5,5,12,3,18,4,2,1,0,11,14,0
2000,CO,0,12,11,1,0,7,3,0,1,0,0,4,7,0,4,2,3,2,0,2,9,0
2001,CO,0,15,12,3,0,13,2,0,0,0,3,6,6,1,11,1,0,2,1,6,10,0
2002,CO,0,6,6,0,0,4,2,0,0,0,1,2,2,1,4,2,0,0,0,3,3,0
2003,CO,0,9,9,0,0,7,2,0,0,0,0,5,0,4,7,2,0,0,0,2,7,0
2004,CO,0,9,9,0,0,7,2,0,0,0,0,4,1,4,5,2,2,0,0,1,8,0
2005,CO,0,6,4,2,0,4,2,0,0,0,1,3,0,2,5,1,0,0,0,2,4,0
2006,CO,0,11,10,1,0,11,0,0,0,0,2,2,3,4,8,1,0,2,0,4,7,0
2007,CO,0,18,15,3,0,11,6,1,0,0,2,6,7,3,13,0,1,4,0,5,13,0
2008,CO,0,8,8,0,0,4,4,0,0,0,0,2,0,6,6,2,0,0,0,1,7,0
2009,CO,0,12,9,2,0,8,4,0,0,0,4,1,2,5,11,0,0,1,0,4,8,0
2010,CO,0,11,10,1,0,9,2,0,0,1,0,5,3,4,5,5,1,1,0,4,8,0
2011,CO,0,4,4,0,0,3,1,0,0,0,2,0,0,2,4,0,0,0,0,3,1,0
2012,CO,0,6,5,1,0,5,1,0,0,0,0,3,3,0,3,0,0,2,1,2,4,0
2013,CO,0,8,8,0,0,3,5,0,0,0,3,1,0,4,5,3,0,0,0,1,7,0
2014,CO,0,12,12,0,0,8,4,0,0,0,2,4,3,3,10,2,0,0,0,5,7,0
2015,CO,0,10,9,1,0,4,6,0,0,0,2,1,6,1,6,0,0,3,1,3,7,0
2016,CO,0,11,11,0,0,6,3,0,0,2,0,2,3,6,11,0,0,0,0,6,6,0
2017,CO,0,23,19,4,0,12,11,0,0,0,1,2,3,17,17,4,1,0,1,6,17,0
2018,CO,0,24,20,4,0,21,3,0,0,0,1,7,7,9,21,0,0,1,2,7,17,0
2019,CO,0,29,28,1,0,21,7,0,1,0,1,13,0,14,28,0,0,0,1,7,22,0
2020,CO,1,33,32,2,0,20,13,0,1,0,4,2,8,20,28,3,0,0,3,7,27,0
1980,CT,0,13,13,0,0,2,7,0,0,4,0,4,9,0,7,3,0,3,0,7,6,0
1981,CT,0,12,12,0,0,3,8,0,0,0,0,1,10,0,3,3,0,2,2,6,6,0
1982,CT,0,13,12,1,0,7,6,0,0,0,1,10,1,1,7,3,0,2,1,8,5,0
1983,CT,2,11,10,3,0,8,5,0,0,0,3,7,3,0,5,4,1,1,2,11,2,0
1984,CT,0,4,4,0,0,0,4,0,0,0,1,1,2,0,3,1,0,0,0,4,0,0
1985,CT,0,11,9,2,0,4,7,0,0,0,3,4,4,0,5,5,0,1,0,8,3,0
1986,CT,0,10,10,0,0,4,6,0,0,0,1,5,4,0,6,3,0,1,0,9,1,0
1987,CT,0,9,9,0,0,7,2,0,0,0,0,6,3,0,5,3,0,0,1,4,5,0
1988,CT,0,20,20,0,0,9,11,0,0,0,0,8,10,2,18,0,2,0,0,10,10,0
1989,CT,0,21,20,1,0,7,14,0,0,0,1,6,7,7,21,0,0,0,0,10,11,0
1990,CT,0,17,17,0,0,7,10,0,0,0,1,5,5,6,12,2,3,0,0,7,10,0
1991,CT,0,17,15,2,0,10,7,0,0,0,1,7,9,0,14,1,1,0,1,8,9,0
1992,CT,0,19,18,1,0,5,14,0,0,0,1,9,7,2,17,1,1,0,0,13,6,0
1993,CT,0,18,17,1,0,10,8,0,0,0,1,8,3,6,13,3,0,2,0,9,9,0
1994,CT,0,22,22,0,0,8,14,0,0,0,2,13,3,4,20,0,0,1,1,15,7,0
1995,CT,0,14,13,1,0,7,7,0,0,0,1,5,7,1,11,1,0,0,2,9,5,0
1996,CT,0,16,16,0,0,9,7,0,0,0,1,9,6,0,10,4,0,0,2,7,9,0
1997,CT,2,11,11,1,1,2,9,0,0,2,1,4,2,6,12,0,0,0,1,7,6,0
1998,CT,0,9,8,1,0,7,2,0,0,0,1,4,3,1,6,2,0,1,0,5,4,0
1999,CT,0,10,9,1,0,3,7,0,0,0,0,4,5,1,8,2,0,0,0,6,4,0
2000,CT,0,5,5,0,0,1,4,0,0,0,0,2,1,2,5,0,0,0,0,4,1,0
2001,CT,0,8,7,1,0,4,4,0,0,0,1,5,1,1,5,3,0,0,0,2,6,0
2002,CT,0,2,2,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0
2003,CT,0,6,6,0,0,2,4,0,0,0,1,1,3,1,4,2,0,0,0,4,2,0
2004,CT,0,8,8,0,0,5,4,0,0,0,1,2,6,0,3,2,3,1,0,4,5,0
2005,CT,0,2,2,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0
2006,CT,0,15,14,1,0,5,9,0,1,0,1,10,3,1,6,7,0,2,0,6,9,0
2007,CT,0,6,6,0,0,1,5,0,0,0,0,1,3,2,5,1,0,0,0,0,6,0
2008,CT,0,7,7,0,0,3,4,0,0,0,0,4,1,2,4,3,0,0,0,2,5,0
2009,CT,0,5,4,1,0,3,2,0,0,0,1,2,0,2,3,0,1,0,1,3,2,0
2010,CT,0,9,9,0,0,1,7,0,0,1,0,1,5,3,4,5,0,0,0,2,7,0
2011,CT,0,3,3,0,0,0,3,0,0,0,0,1,0,2,3,0,0,0,0,0,3,0
2012,CT,0,3,3,0,0,1,2,0,0,0,0,2,0,1,2,1,0,0,0,1,2,0
2013,CT,0,6,6,0,0,0,4,0,0,2,0,3,0,3,5,1,0,0,0,1,5,0
2014,CT,0,6,6,0,0,1,4,0,0,1,1,4,0,1,4,1,0,0,1,3,3,0
2015,CT,0,2,2,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0
2016,CT,0,4,2,2,0,1,3,0,0,0,0,1,3,0,3,1,0,0,0,1,3,0
2017,CT,0,7,7,0,0,3,4,0,0,0,1,4,0,2,3,1,0,3,0,4,3,0
2018,CT,0,9,9,0,0,3,6,0,0,0,2,5,0,2,7,2,0,0,0,3,6,0
2019,CT,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020,CT,0,10,9,1,0,5,5,0,0,0,2,5,0,3,4,5,0,0,1,2,8,0
