State,Year,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Pattern
IL,1982,-0.34596717777600594,1.9714252940137607,2.018121223517771,0.6031100441354562,-0.10510389060631,0.7977149567616021,2.9052604826374817,-0.3365566445941464,0.27725167572547926,-0.17441905007072317,3
IL,1983,-0.34596717777600594,1.631625046290086,1.615831091761807,0.9120241929689324,-0.10510389060631,0.6798425824422846,2.298576601241362,-0.3365566445941464,0.7809945213719719,-0.17441905007072317,3
IL,1986,-0.34596717777600594,1.759050139186464,1.727578350582908,1.8387666394693614,-0.10510389060631,1.0727504968400094,2.298576601241362,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,1988,-0.34596717777600594,1.9926628094964904,1.9734223199893304,1.529852490635885,-0.10510389060631,0.7977149567616021,2.9457060747305563,-0.3365566445941464,0.27725167572547926,-0.17441905007072317,3
IL,1989,-0.34596717777600594,2.353700572702895,2.353362999981074,1.529852490635885,-0.10510389060631,1.0727504968400094,3.3906075877543773,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,1990,-0.34596717777600594,3.054538583632974,3.1132443599645607,1.2209383418024087,-0.10510389060631,1.4656584112377344,4.361301797988169,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,1
IL,1991,3.223163142105276,5.029627523526833,4.968248856394839,4.927908127804124,-0.10510389060631,1.5049492026775069,8.082296270551035,-0.3365566445941464,0.7809945213719719,-0.17441905007072317,1
IL,1992,-0.34596717777600594,3.819089141011242,3.671980654070066,3.383337383636743,11.352788900266647,1.2299136625990994,5.857788705431931,-0.3365566445941464,-0.2264911699210134,2.8372990154530644,4
IL,1993,1.438597982164635,5.709228018974183,5.772829119906767,3.692251532470219,-0.10510389060631,2.3693466143525015,8.486752191481783,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,1
IL,1994,8.5768586219272,6.006553235732398,6.286866510483831,1.8387666394693614,-0.10510389060631,2.487218988671819,8.931653704505603,1.1442925916200979,0.7809945213719719,-0.17441905007072317,1
